Year,Category,Nominee,Info,Won
1974 (47th),Actress Leading,Gena Rowlands,A Woman under the Influence {'Mabel Longhetti'},NO
1973 (46th),Actress Leading,Ellen Burstyn,The Exorcist {'Chris MacNeil'},NO
1973 (46th),Actress Leading,Glenda Jackson,A Touch of Class {'Vicki Allessio'},YES
1973 (46th),Actress Leading,Marsha Mason,Cinderella Liberty {'Maggie Paul'},NO
1973 (46th),Actress Leading,Barbra Streisand,The Way We Were {'Katie Morosky'},NO
1973 (46th),Actress Leading,Joanne Woodward,"Summer Wishes, Winter Dreams {'Rita Walden'}",NO
1972 (45th),Actress Leading,Liza Minnelli,Cabaret {'Sally Bowles'},YES
1972 (45th),Actress Leading,Diana Ross,Lady Sings the Blues {'Billie Holiday'},NO
1972 (45th),Actress Leading,Maggie Smith,Travels with My Aunt {'Aunt Augusta'},NO
1972 (45th),Actress Leading,Cicely Tyson,Sounder {'Rebecca Morgan'},NO
1972 (45th),Actress Leading,Liv Ullmann,The Emigrants {'Kristina'},NO
1971 (44th),Actress Leading,Julie Christie,McCabe & Mrs. Miller {'Mrs. Constance Miller'},NO
1971 (44th),Actress Leading,Jane Fonda,Klute {'Bree Daniel'},YES
1971 (44th),Actress Leading,Glenda Jackson,Sunday Bloody Sunday {'Alex Greville'},NO
1971 (44th),Actress Leading,Vanessa Redgrave,"Mary, Queen of Scots {'Mary, Queen of Scots'}",NO
1971 (44th),Actress Leading,Janet Suzman,Nicholas and Alexandra {'Alexandra'},NO
1970 (43rd),Actress Leading,Jane Alexander,The Great White Hope {'Eleanor Bachman'},NO
1970 (43rd),Actress Leading,Glenda Jackson,Women in Love {'Gudrun Brangwen'},YES
1970 (43rd),Actress Leading,Ali MacGraw,Love Story {'Jenny Cavilleri'},NO
1970 (43rd),Actress Leading,Sarah Miles,Ryan's Daughter {'Rosy Ryan'},NO
1970 (43rd),Actress Leading,Carrie Snodgress,Diary of a Mad Housewife {'Tina Balser'},NO
1969 (42nd),Actress Leading,Genevieve Bujold,Anne of the Thousand Days {'Anne Boleyn'},NO
1969 (42nd),Actress Leading,Jane Fonda,"They Shoot Horses, Don't They? {'Gloria Beatty'}",NO
1969 (42nd),Actress Leading,Liza Minnelli,The Sterile Cuckoo {'Pookie Adams'},NO
1969 (42nd),Actress Leading,Jean Simmons,The Happy Ending {'Mary Wilson'},NO
1969 (42nd),Actress Leading,Maggie Smith,The Prime of Miss Jean Brodie {'Miss Jean Brodie'},YES
1968 (41st),Actress Leading,Katharine Hepburn,The Lion in Winter {'Queen Eleanor of Aquitaine'},YES
1968 (41st),Actress Leading,Patricia Neal,The Subject Was Roses {'Nettie Cleary'},NO
1968 (41st),Actress Leading,Vanessa Redgrave,Isadora {'Isadora Duncan'},NO
1968 (41st),Actress Leading,Barbra Streisand,Funny Girl {'Fanny Brice'},YES
1968 (41st),Actress Leading,Joanne Woodward,"Rachel, Rachel {'Rachel Cameron'}",NO
1967 (40th),Actress Leading,Anne Bancroft,The Graduate {'Mrs. Robinson'},NO
1967 (40th),Actress Leading,Faye Dunaway,Bonnie and Clyde {'Bonnie Parker'},NO
1967 (40th),Actress Leading,Dame Edith Evans,The Whisperers {'Mrs. Ross'},NO
1967 (40th),Actress Leading,Audrey Hepburn,Wait until Dark {'Susy Hendrix'},NO
1967 (40th),Actress Leading,Katharine Hepburn,Guess Who's Coming to Dinner {'Christina Drayton'},YES
1966 (39th),Actress Leading,Anouk Aimee,A Man and a Woman {'Anne Gauthier'},NO
1966 (39th),Actress Leading,Ida Kaminska,The Shop on Main Street {'Rozalie Lautmanova'},NO
1966 (39th),Actress Leading,Lynn Redgrave,Georgy Girl {'Georgy Parkin'},NO
1966 (39th),Actress Leading,Vanessa Redgrave,Morgan! {'Leonie Delt'},NO
1966 (39th),Actress Leading,Elizabeth Taylor,Who's Afraid of Virginia Woolf? {'Martha'},YES
1965 (38th),Actress Leading,Julie Andrews,The Sound of Music {'Maria'},NO
1965 (38th),Actress Leading,Julie Christie,Darling {'Diana Scott'},YES
1965 (38th),Actress Leading,Samantha Eggar,The Collector {'Miranda Grey'},NO
1965 (38th),Actress Leading,Elizabeth Hartman,A Patch of Blue {'Selina D'Arcey'},NO
1965 (38th),Actress Leading,Simone Signoret,Ship of Fools {'La Condessa'},NO
1964 (37th),Actress Leading,Julie Andrews,Mary Poppins {'Mary Poppins'},YES
1964 (37th),Actress Leading,Anne Bancroft,The Pumpkin Eater {'Jo Armitage'},NO
1964 (37th),Actress Leading,Sophia Loren,Marriage Italian Style {'Filomena Marturano'},NO
1964 (37th),Actress Leading,Debbie Reynolds,The Unsinkable Molly Brown {'Molly Brown'},NO
1964 (37th),Actress Leading,Kim Stanley,Seance on a Wet Afternoon {'Myra Savage'},NO
1963 (36th),Actress Leading,Leslie Caron,The L-Shaped Room {'Jane'},NO
1963 (36th),Actress Leading,Shirley MacLaine,Irma La Douce {'Irma La Douce'},NO
1963 (36th),Actress Leading,Patricia Neal,Hud {'Alma'},YES
1963 (36th),Actress Leading,Rachel Roberts,This Sporting Life {'Mrs. Hammond'},NO
1963 (36th),Actress Leading,Natalie Wood,Love with the Proper Stranger {'Angie'},NO
1962 (35th),Actress Leading,Anne Bancroft,The Miracle Worker {'Annie Sullivan'},YES
1962 (35th),Actress Leading,Bette Davis,What Ever Happened to Baby Jane? {'Jane Hudson'},NO
1962 (35th),Actress Leading,Katharine Hepburn,Long Day's Journey into Night {'Mary Tyrone'},NO
1962 (35th),Actress Leading,Geraldine Page,Sweet Bird of Youth {'Alexandra Del Lago'},NO
1962 (35th),Actress Leading,Lee Remick,Days of Wine and Roses {'Kirsten Arnesen'},NO
1961 (34th),Actress Leading,Audrey Hepburn,Breakfast at Tiffany's {'Holly Golightly'},NO
1961 (34th),Actress Leading,Piper Laurie,The Hustler {'Sarah Packard'},NO
1961 (34th),Actress Leading,Sophia Loren,Two Women {'Cesira'},YES
1961 (34th),Actress Leading,Geraldine Page,Summer and Smoke {'Alma Winemiller'},NO
1961 (34th),Actress Leading,Natalie Wood,Splendor in the Grass {'Wilma Dean Loomis'},NO
1960 (33rd),Actress Leading,Greer Garson,Sunrise at Campobello {'Eleanor Roosevelt'},NO
1960 (33rd),Actress Leading,Deborah Kerr,The Sundowners {'Ida Carmody'},NO
1960 (33rd),Actress Leading,Shirley MacLaine,The Apartment {'Fran Kubelik'},NO
1960 (33rd),Actress Leading,Melina Mercouri,Never on Sunday {'Ilya'},NO
1960 (33rd),Actress Leading,Elizabeth Taylor,Butterfield 8 {'Gloria Wandrous'},YES
1959 (32nd),Actress Leading,Doris Day,Pillow Talk {'Jan Morrow'},NO
1959 (32nd),Actress Leading,Audrey Hepburn,The Nun's Story {'Sister Luke'},NO
1959 (32nd),Actress Leading,Katharine Hepburn,"Suddenly, Last Summer {'Mrs. Venable'}",NO
1959 (32nd),Actress Leading,Simone Signoret,Room at the Top {'Alice Aisgill'},YES
1959 (32nd),Actress Leading,Elizabeth Taylor,"Suddenly, Last Summer {'Catherine Holly'}",NO
1958 (31st),Actress Leading,Susan Hayward,I Want to Live! {'Barbara Graham'},YES
1958 (31st),Actress Leading,Deborah Kerr,Separate Tables {'Sibyl Railton-Bell'},NO
1958 (31st),Actress Leading,Shirley MacLaine,Some Came Running {'Ginny Moorhead'},NO
1958 (31st),Actress Leading,Rosalind Russell,Auntie Mame {'Auntie Mame Dennis'},NO
1958 (31st),Actress Leading,Elizabeth Taylor,Cat on a Hot Tin Roof {'Maggie Pollitt'},NO
1957 (30th),Actress Leading,Deborah Kerr,"Heaven Knows, Mr. Allison {'Sister Angela'}",NO
1957 (30th),Actress Leading,Anna Magnani,Wild Is the Wind {'Gioia'},NO
1957 (30th),Actress Leading,Elizabeth Taylor,Raintree County {'Susanna Drake'},NO
1957 (30th),Actress Leading,Lana Turner,Peyton Place {'Constance MacKenzie'},NO
1957 (30th),Actress Leading,Joanne Woodward,The Three Faces of Eve {'Eve White/Eve Black/Jane'},YES
1956 (29th),Actress Leading,Carroll Baker,Baby Doll {'Baby Doll'},NO
1956 (29th),Actress Leading,Ingrid Bergman,Anastasia {'The Woman'},YES
1956 (29th),Actress Leading,Katharine Hepburn,The Rainmaker {'Lizzie Curry'},NO
1956 (29th),Actress Leading,Nancy Kelly,The Bad Seed {'Christine Penmark'},NO
1956 (29th),Actress Leading,Deborah Kerr,The King and I {'Anna'},NO
1955 (28th),Actress Leading,Susan Hayward,I'll Cry Tomorrow {'Lillian Roth'},NO
1955 (28th),Actress Leading,Katharine Hepburn,Summertime {'Jane Hudson'},NO
1955 (28th),Actress Leading,Jennifer Jones,Love Is a Many-Splendored Thing {'Han Suyin'},NO
1955 (28th),Actress Leading,Anna Magnani,The Rose Tattoo {'Serafina Della Rose'},YES
1955 (28th),Actress Leading,Eleanor Parker,Interrupted Melody {'Marjorie Lawrence'},NO
1954 (27th),Actress Leading,Dorothy Dandridge,Carmen Jones {'Carmen Jones'},NO
1954 (27th),Actress Leading,Judy Garland,A Star Is Born {'Esther Blodgett/Vicki Lester'},NO
1954 (27th),Actress Leading,Audrey Hepburn,Sabrina {'Sabrina Fairchild'},NO
1954 (27th),Actress Leading,Grace Kelly,The Country Girl {'Georgie Elgin'},YES
1954 (27th),Actress Leading,Jane Wyman,Magnificent Obsession {'Helen Phillips'},NO
1953 (26th),Actress Leading,Leslie Caron,Lili {'Lili Daurier'},NO
1953 (26th),Actress Leading,Ava Gardner,Mogambo {'Eloise 'Honey Bear' Kelly'},NO
1953 (26th),Actress Leading,Audrey Hepburn,Roman Holiday {'Princess Anne'},YES
1953 (26th),Actress Leading,Deborah Kerr,From Here to Eternity {'Karen Holmes'},NO
1953 (26th),Actress Leading,Maggie McNamara,The Moon Is Blue {'Patty O'Neill'},NO
1952 (25th),Actress Leading,Shirley Booth,"Come Back, Little Sheba {'Lola Delaney'}",YES
1952 (25th),Actress Leading,Joan Crawford,Sudden Fear {'Myra Hudson'},NO
1952 (25th),Actress Leading,Bette Davis,The Star {'Margaret Elliot'},NO
1952 (25th),Actress Leading,Julie Harris,The Member of the Wedding {'Frankie Addams'},NO
1952 (25th),Actress Leading,Susan Hayward,With a Song in My Heart {'Jane Froman'},NO
1951 (24th),Actress Leading,Katharine Hepburn,The African Queen {'Rose Sayer'},NO
1951 (24th),Actress Leading,Vivien Leigh,A Streetcar Named Desire {'Blanche DuBois'},YES
1951 (24th),Actress Leading,Eleanor Parker,Detective Story {'Mary McLeod'},NO
1951 (24th),Actress Leading,Shelley Winters,A Place in the Sun {'Alice Tripp'},NO
1951 (24th),Actress Leading,Jane Wyman,The Blue Veil {'Louise Mason'},NO
1950 (23rd),Actress Leading,Anne Baxter,All about Eve {'Eve Harrington'},NO
1950 (23rd),Actress Leading,Bette Davis,All about Eve {'Margo Channing'},NO
1950 (23rd),Actress Leading,Judy Holliday,Born Yesterday {'Billie Dawn'},YES
1950 (23rd),Actress Leading,Eleanor Parker,Caged {'Marie Allen'},NO
1950 (23rd),Actress Leading,Gloria Swanson,Sunset Blvd. {'Norma Desmond'},NO
1949 (22nd),Actress Leading,Jeanne Crain,Pinky {'Pinky'},NO
1949 (22nd),Actress Leading,Olivia de Havilland,The Heiress {'Catherine Sloper'},YES
1949 (22nd),Actress Leading,Susan Hayward,My Foolish Heart {'Eloise Winters'},NO
1949 (22nd),Actress Leading,Deborah Kerr,"Edward, My Son {'Evelyn Boult'}",NO
1949 (22nd),Actress Leading,Loretta Young,Come to the Stable {'Sister Margaret'},NO
1948 (21st),Actress Leading,Ingrid Bergman,Joan of Arc {'Joan of Arc'},NO
1948 (21st),Actress Leading,Olivia de Havilland,The Snake Pit {'Virginia Stuart Cunningham'},NO
1948 (21st),Actress Leading,Irene Dunne,I Remember Mama {'Mama'},NO
1948 (21st),Actress Leading,Barbara Stanwyck,"Sorry, Wrong Number {'Leona Stevenson'}",NO
1948 (21st),Actress Leading,Jane Wyman,Johnny Belinda {'Belinda McDonald'},YES
1947 (20th),Actress Leading,Joan Crawford,Possessed {'Louise Howell'},NO
1947 (20th),Actress Leading,Susan Hayward,Smash-Up--The Story of a Woman {'Angie'},NO
1947 (20th),Actress Leading,Dorothy McGuire,Gentleman's Agreement {'Kathy'},NO
1947 (20th),Actress Leading,Rosalind Russell,Mourning Becomes Electra {'Lavinia Mannon'},NO
1947 (20th),Actress Leading,Loretta Young,The Farmer's Daughter {'Katrin Holstrom'},YES
1946 (19th),Actress Leading,Olivia de Havilland,To Each His Own {'Jody Norris'},YES
1946 (19th),Actress Leading,Celia Johnson,Brief Encounter {'Laura Jesson'},NO
1946 (19th),Actress Leading,Jennifer Jones,Duel in the Sun {'Pearl Chavez'},NO
1946 (19th),Actress Leading,Rosalind Russell,Sister Kenny {'Elizabeth Kenny'},NO
1946 (19th),Actress Leading,Jane Wyman,The Yearling {'Ma Baxter'},NO
1945 (18th),Actress Leading,Ingrid Bergman,The Bells of St. Mary's {'Sister Benedict'},NO
1945 (18th),Actress Leading,Joan Crawford,Mildred Pierce {'Mildred Pierce'},YES
1945 (18th),Actress Leading,Greer Garson,The Valley of Decision {'Mary Rafferty'},NO
1945 (18th),Actress Leading,Jennifer Jones,Love Letters {'Singleton'},NO
1945 (18th),Actress Leading,Gene Tierney,Leave Her to Heaven {'Ellen Berent'},NO
1944 (17th),Actress Leading,Ingrid Bergman,Gaslight {'Paula Alquist'},YES
1944 (17th),Actress Leading,Claudette Colbert,Since You Went Away {'Anne Hilton'},NO
1944 (17th),Actress Leading,Bette Davis,Mr. Skeffington {'Fanny Trellis Skeffington'},NO
1944 (17th),Actress Leading,Greer Garson,Mrs. Parkington {'Susie Parkington'},NO
1944 (17th),Actress Leading,Barbara Stanwyck,Double Indemnity {'Phyllis Dietrichson'},NO
1943 (16th),Actress Leading,Jean Arthur,The More the Merrier {'Connie Milligan'},NO
1943 (16th),Actress Leading,Ingrid Bergman,For Whom the Bell Tolls {'Maria'},NO
1943 (16th),Actress Leading,Joan Fontaine,The Constant Nymph {'Teresa 'Tessa' Sanger'},NO
1943 (16th),Actress Leading,Greer Garson,Madame Curie {'Madame Marie Curie'},NO
1943 (16th),Actress Leading,Jennifer Jones,The Song of Bernadette {'Bernadette Soubirous'},YES
1942 (15th),Actress Leading,Bette Davis,"Now, Voyager {'Charlotte Vale'}",NO
1942 (15th),Actress Leading,Greer Garson,Mrs. Miniver {'Kay Miniver'},YES
1942 (15th),Actress Leading,Katharine Hepburn,Woman of the Year {'Tess Harding'},NO
1942 (15th),Actress Leading,Rosalind Russell,My Sister Eileen {'Ruth Sherwood'},NO
1942 (15th),Actress Leading,Teresa Wright,The Pride of the Yankees {'Eleanor Gehrig'},NO
1941 (14th),Actress Leading,Bette Davis,The Little Foxes {'Regina Hubbard Giddens'},NO
1941 (14th),Actress Leading,Olivia de Havilland,Hold Back the Dawn {'Emmy Brown'},NO
1941 (14th),Actress Leading,Joan Fontaine,Suspicion {'Lina McLaidlaw'},YES
1941 (14th),Actress Leading,Greer Garson,Blossoms in the Dust {'Edna Gladney'},NO
1941 (14th),Actress Leading,Barbara Stanwyck,Ball of Fire {'Sugarpuss O'Shea'},NO
1940 (13th),Actress Leading,Bette Davis,The Letter {'Leslie Crosbie'},NO
1940 (13th),Actress Leading,Joan Fontaine,Rebecca {'Mrs. de Winter'},NO
1940 (13th),Actress Leading,Katharine Hepburn,The Philadelphia Story {'Tracy Lord'},NO
1940 (13th),Actress Leading,Ginger Rogers,Kitty Foyle {'Kitty Foyle'},YES
1940 (13th),Actress Leading,Martha Scott,Our Town {'Emily Webb'},NO
1939 (12th),Actress Leading,Bette Davis,Dark Victory {'Judith Traherne'},NO
1939 (12th),Actress Leading,Irene Dunne,Love Affair {'Terry McKay'},NO
1939 (12th),Actress Leading,Greta Garbo,Ninotchka {'Lena Yakushova (Ninotchka)'},NO
1939 (12th),Actress Leading,Greer Garson,"Goodbye, Mr. Chips {'Katherine Chipping'}",NO
1939 (12th),Actress Leading,Vivien Leigh,Gone with the Wind {'Scarlett O'Hara'},YES
1938 (11th),Actress Leading,Fay Bainter,White Banners {'Hannah'},NO
1938 (11th),Actress Leading,Bette Davis,Jezebel {'Julie Morrison'},YES
1938 (11th),Actress Leading,Wendy Hiller,Pygmalion {'Eliza Doolittle'},NO
1938 (11th),Actress Leading,Norma Shearer,Marie Antoinette {'Marie Antoinette'},NO
1938 (11th),Actress Leading,Margaret Sullavan,Three Comrades {'Pat Hollmann'},NO
1937 (10th),Actress Leading,Irene Dunne,The Awful Truth {'Lucy Warriner'},NO
1937 (10th),Actress Leading,Greta Garbo,Camille {'Marguerite Gautier (Camille)'},NO
1937 (10th),Actress Leading,Janet Gaynor,A Star Is Born {'Esther Blodgett/Vicki Lester'},NO
1937 (10th),Actress Leading,Luise Rainer,The Good Earth {'O-Lan'},YES
1937 (10th),Actress Leading,Barbara Stanwyck,Stella Dallas {'Stella Dallas'},NO
1936 (9th),Actress Leading,Irene Dunne,Theodora Goes Wild {'Theodora Lynn'},NO
1936 (9th),Actress Leading,Gladys George,Valiant Is the Word for Carrie {'Carrie Snyder'},NO
1936 (9th),Actress Leading,Carole Lombard,My Man Godfrey {'Irene Bullock'},NO
1936 (9th),Actress Leading,Luise Rainer,The Great Ziegfeld {'Anna Held'},YES
1936 (9th),Actress Leading,Norma Shearer,Romeo and Juliet {'Juliet'},NO
1935 (8th),Actress Leading,Elisabeth Bergner,Escape Me Never {'Gemma Jones'} [came in 3rd],NO
1935 (8th),Actress Leading,Claudette Colbert,Private Worlds {'Jane Everest'},NO
1935 (8th),Actress Leading,Bette Davis,Dangerous {'Joyce Heath'},YES
1935 (8th),Actress Leading,Katharine Hepburn,Alice Adams {'Alice Adams'} [came in 2nd],NO
1935 (8th),Actress Leading,Miriam Hopkins,Becky Sharp {'Becky Sharp'},NO
1935 (8th),Actress Leading,Merle Oberon,The Dark Angel {'Kitty Vane'},NO
1934 (7th),Actress Leading,Claudette Colbert,It Happened One Night {'Ellie Andrews'},YES
1934 (7th),Actress Leading,Bette Davis,Of Human Bondage {'Mildred'} [came in 3rd],NO
1934 (7th),Actress Leading,Grace Moore,One Night of Love {'Mary'},NO
1934 (7th),Actress Leading,Norma Shearer,The Barretts of Wimpole Street {'Elizabeth Barrett'} [came in 2nd],NO
1933 (6th),Actress Leading,Katharine Hepburn,Morning Glory {'Eva Lovelace'},YES
1933 (6th),Actress Leading,May Robson,Lady for a Day {'Apple Annie'} [came in 2nd],NO
1933 (6th),Actress Leading,Diana Wynyard,Cavalcade {'Jane Marryot'} [came in 3rd],NO
1932 (5th),Actress Leading,Marie Dressler,Emma {'Emma'},NO
1932 (5th),Actress Leading,Lynn Fontanne,The Guardsman {'The Actress'},NO
1932 (5th),Actress Leading,Helen Hayes,The Sin of Madelon Claudet {'Madelon'},YES
1931 (4th),Actress Leading,Marlene Dietrich,Morocco {'Amy Jolly'},NO
1931 (4th),Actress Leading,Marie Dressler,Min and Bill {'Min'},YES
1931 (4th),Actress Leading,Irene Dunne,Cimarron {'Sabra Cravat'},NO
1931 (4th),Actress Leading,Ann Harding,Holiday {'Linda Seton'},NO
1931 (4th),Actress Leading,Norma Shearer,A Free Soul {'Jan Ashe'},NO
1930 (3rd),Actress Leading,Nancy Carroll,The Devil's Holiday {'Hallie Hobart'},NO
1930 (3rd),Actress Leading,Ruth Chatterton,Sarah and Son {'Sarah Storm'},NO
1930 (3rd),Actress Leading,Greta Garbo,Anna Christie {'Anna Christie'}; and Romance {'Madame Rita Cavallini'},NO
1930 (3rd),Actress Leading,Norma Shearer,The Divorcee {'Jerry'},YES
1930 (3rd),Actress Leading,Norma Shearer,Their Own Desire {'Lucia 'Lally' Marlett'},NO
1930 (3rd),Actress Leading,Gloria Swanson,The Trespasser {'Marion Donnell'},NO
1929 (2nd),Actress Leading,Ruth Chatterton,Madame X {'Jacqueline Floriot'},NO
1929 (2nd),Actress Leading,Betty Compson,The Barker {'Carrie'},NO
1929 (2nd),Actress Leading,Jeanne Eagels,The Letter {'Leslie Crosbie'},NO
1929 (2nd),Actress Leading,Corinne Griffith,"The Divine Lady {'Emma Hart, Lady Hamilton'}",NO
1929 (2nd),Actress Leading,Bessie Love,The Broadway Melody {'Hank Mahoney'},NO
1929 (2nd),Actress Leading,Mary Pickford,Coquette {'Norma Besant'},YES
1928 (1st),Actress Leading,Louise Dresser,A Ship Comes In {'Mrs. Pleznik'},NO
1928 (1st),Actress Leading,Janet Gaynor,7th Heaven {'Diane'}; Street Angel {'Angela'}; and Sunrise {'The Wife'},YES
1928 (1st),Actress Leading,Gloria Swanson,Sadie Thompson {'Sadie Thompson'},NO
2010 (83rd),Actress Supporting,Amy Adams,The Fighter {'Charlene Fleming'},NO
2010 (83rd),Actress Supporting,Helena Bonham Carter,The King's Speech {'Queen Elizabeth'},NO
2010 (83rd),Actress Supporting,Melissa Leo,The Fighter {'Alice Ward'},YES
2010 (83rd),Actress Supporting,Hailee Steinfeld,True Grit {'Mattie Ross'},NO
2010 (83rd),Actress Supporting,Jacki Weaver,Animal Kingdom {'Janine 'Smurf' Cody'},NO
2009 (82nd),Actress Supporting,Penélope Cruz,Nine {'Carla'},NO
2009 (82nd),Actress Supporting,Vera Farmiga,Up in the Air {'Alex Goran'},NO
2009 (82nd),Actress Supporting,Maggie Gyllenhaal,Crazy Heart {'Jean Craddock'},NO
2009 (82nd),Actress Supporting,Anna Kendrick,Up in the Air {'Natalie Keener'},NO
2009 (82nd),Actress Supporting,Mo'Nique,Precious: Based on the Novel 'Push' by Sapphire {'Mary'},YES
2008 (81st),Actress Supporting,Amy Adams,Doubt {'Sister James'},NO
2008 (81st),Actress Supporting,Penélope Cruz,Vicky Cristina Barcelona {'Maria Elena'},YES
2008 (81st),Actress Supporting,Viola Davis,Doubt {'Mrs. Miller'},NO
2008 (81st),Actress Supporting,Taraji P. Henson,The Curious Case of Benjamin Button {'Queenie'},NO
2008 (81st),Actress Supporting,Marisa Tomei,The Wrestler {'Cassidy'},NO
2007 (80th),Actress Supporting,Cate Blanchett,I'm Not There {'Jude'},NO
2007 (80th),Actress Supporting,Ruby Dee,American Gangster {'Mama Lucas'},NO
2007 (80th),Actress Supporting,Saoirse Ronan,"Atonement {'Briony Tallis, aged 13'}",NO
2007 (80th),Actress Supporting,Amy Ryan,Gone Baby Gone {'Helene McCready'},NO
2007 (80th),Actress Supporting,Tilda Swinton,Michael Clayton {'Karen Crowder'},YES
2006 (79th),Actress Supporting,Adriana Barraza,Babel {'Amelia'},NO
2006 (79th),Actress Supporting,Cate Blanchett,Notes on a Scandal {'Sheba Hart'},NO
2006 (79th),Actress Supporting,Abigail Breslin,Little Miss Sunshine {'Olive'},NO
2006 (79th),Actress Supporting,Jennifer Hudson,Dreamgirls {'Effie White'},YES
2006 (79th),Actress Supporting,Rinko Kikuchi,Babel {'Chieko'},NO
2005 (78th),Actress Supporting,Amy Adams,Junebug {'Ashley'},NO
2005 (78th),Actress Supporting,Catherine Keener,Capote {'Nelle Harper Lee'},NO
2005 (78th),Actress Supporting,Frances McDormand,North Country {'Glory'},NO
2005 (78th),Actress Supporting,Rachel Weisz,The Constant Gardener {'Tessa Quayle'},YES
2005 (78th),Actress Supporting,Michelle Williams,Brokeback Mountain {'Alma'},NO
2004 (77th),Actress Supporting,Cate Blanchett,The Aviator {'Katharine Hepburn'},YES
2004 (77th),Actress Supporting,Laura Linney,Kinsey {'Clara McMillen'},NO
2004 (77th),Actress Supporting,Virginia Madsen,Sideways {'Maya'},NO
2004 (77th),Actress Supporting,Sophie Okonedo,Hotel Rwanda {'Tatiana Rusesabagina'},NO
2004 (77th),Actress Supporting,Natalie Portman,Closer {'Alice'},NO
2003 (76th),Actress Supporting,Shohreh Aghdashloo,House of Sand and Fog {'Nadi'},NO
2003 (76th),Actress Supporting,Patricia Clarkson,Pieces of April {'Joy Burns'},NO
2003 (76th),Actress Supporting,Marcia Gay Harden,Mystic River {'Celeste Boyle'},NO
2003 (76th),Actress Supporting,Holly Hunter,Thirteen {'Melanie'},NO
2003 (76th),Actress Supporting,Renée Zellweger,Cold Mountain {'Ruby Thewes'},YES
2002 (75th),Actress Supporting,Kathy Bates,About Schmidt {'Roberta Hertzel'},NO
2002 (75th),Actress Supporting,Julianne Moore,The Hours {'Laura Brown'},NO
2002 (75th),Actress Supporting,Queen Latifah,Chicago {'Matron Mama Morton'},NO
2002 (75th),Actress Supporting,Meryl Streep,Adaptation {'Susan Orlean'},NO
2002 (75th),Actress Supporting,Catherine Zeta-Jones,Chicago {'Velma Kelly'},YES
2001 (74th),Actress Supporting,Jennifer Connelly,A Beautiful Mind {'Alicia Nash'},YES
2001 (74th),Actress Supporting,Helen Mirren,Gosford Park {'Mrs. Wilson'},NO
2001 (74th),Actress Supporting,Maggie Smith,"Gosford Park {'Constance, Countess of Trentham'}",NO
2001 (74th),Actress Supporting,Marisa Tomei,In the Bedroom {'Natalie Strout'},NO
2001 (74th),Actress Supporting,Kate Winslet,Iris {'Young Iris Murdoch'},NO
2000 (73rd),Actress Supporting,Judi Dench,Chocolat {'Armande Voizin'},NO
2000 (73rd),Actress Supporting,Marcia Gay Harden,Pollock {'Lee Krasner'},YES
2000 (73rd),Actress Supporting,Kate Hudson,Almost Famous {'Penny Lane'},NO
2000 (73rd),Actress Supporting,Frances McDormand,Almost Famous {'Elaine Miller'},NO
2000 (73rd),Actress Supporting,Julie Walters,Billy Elliot {'Mrs. Wilkinson'},NO
1999 (72nd),Actress Supporting,Toni Collette,The Sixth Sense {'Lynn Sear'},NO
1999 (72nd),Actress Supporting,Angelina Jolie,"Girl, Interrupted {'Lisa Rowe'}",YES
1999 (72nd),Actress Supporting,Catherine Keener,Being John Malkovich {'Maxine'},NO
1999 (72nd),Actress Supporting,Samantha Morton,Sweet and Lowdown {'Hattie'},NO
1999 (72nd),Actress Supporting,Chloë Sevigny,Boys Don't Cry {'Lana Tisdel'},NO
1998 (71st),Actress Supporting,Kathy Bates,Primary Colors {'Libby'},NO
1998 (71st),Actress Supporting,Brenda Blethyn,Little Voice {'Mari'},NO
1998 (71st),Actress Supporting,Judi Dench,Shakespeare in Love {'Queen Elizabeth I'},YES
1998 (71st),Actress Supporting,Rachel Griffiths,Hilary and Jackie {'Hilary du Pré'},NO
1998 (71st),Actress Supporting,Lynn Redgrave,Gods and Monsters {'Hanna'},NO
1997 (70th),Actress Supporting,Kim Basinger,L.A. Confidential {'Lynn Bracken'},YES
1997 (70th),Actress Supporting,Joan Cusack,In & Out {'Emily Montgomery'},NO
1997 (70th),Actress Supporting,Minnie Driver,Good Will Hunting {'Skylar'},NO
1997 (70th),Actress Supporting,Julianne Moore,Boogie Nights {'Amber Waves'},NO
1997 (70th),Actress Supporting,Gloria Stuart,Titanic {'Old Rose'},NO
1996 (69th),Actress Supporting,Joan Allen,The Crucible {'Elizabeth Proctor'},NO
1996 (69th),Actress Supporting,Lauren Bacall,The Mirror Has Two Faces {'Hannah Morgan'},NO
1996 (69th),Actress Supporting,Juliette Binoche,The English Patient {'Hana'},YES
1996 (69th),Actress Supporting,Barbara Hershey,The Portrait of a Lady {'Madame Serena Merle'},NO
1996 (69th),Actress Supporting,Marianne Jean-Baptiste,Secrets & Lies {'Hortense'},NO
1995 (68th),Actress Supporting,Joan Allen,Nixon {'Pat Nixon'},NO
1995 (68th),Actress Supporting,Kathleen Quinlan,Apollo 13 {'Marilyn Lovell'},NO
1995 (68th),Actress Supporting,Mira Sorvino,Mighty Aphrodite {'Linda'},YES
1995 (68th),Actress Supporting,Mare Winningham,Georgia {'Georgia'},NO
1995 (68th),Actress Supporting,Kate Winslet,Sense and Sensibility {'Marianne Dashwood'},NO
1994 (67th),Actress Supporting,Rosemary Harris,Tom & Viv {'Rose Haigh-Wood'},NO
